Investment ID;From;To;Tso In Charge From;Tso In Charge To
697;Sajóivánka (HU);NULL;MAVIR;N/A
1500;Gabcikovo (SK);Gonyu (HU);SEPS;MAVIR
1501;Rimavska Sobota (SK);Sajoivanka (HU);SEPS;MAVIR
386;Kilingi-Nomme (EE);Riga CHP2 (LV);Elering;AST
735;Harku (EE);Sindi (EE);Elering;Elering
1062;Riga CHP2;Riga HPP;AST;AST
427;Endrup (DK);Eemshaven (NL);Energinet;TENNET-NL
443;Richborough (GB);Gezelle (BE);NGET;ELIA
449;Richborough (GB);Canterbury (GB);NGET;NGET
450;Sellindge (GB);Dungeness (GB);NGET;NGET
752;Offshore platform;Stevin (Zeebrugge);ELIA;ELIA
452;Hunterston (GB);Deeside (GB);SPT;NGET
458;Hinkley Point (GB);Seabank (GB);NGET;NGET
462;Woodland (IE);Turleenan (NI);EirGrid;SONI
463;Srananagh (IE);New substation in South Donegal (IE);EirGrid;EirGrid
896;South Donegal (IE);Omagh South (NI);EirGrid;SONI
897;Omagh South;Turleenan;SONI;SONI
779;F. Alentejo (by Ourique);Tavira (by Ourique);REN;REN
780;Ourique (PT);NULL;REN;NULL
146;Oberzier (DE);Lixhe (BE);AMPRION;ELIA
139;Vierraden (DE);Krajnik (PL);50Hertz;PSE S.A.
796;Krajnik (PL);Krajnik (PL);PSE S.A.;PSE S.A.
1492;Mikulowa (PL);Mikulowa (PL);PSE;PSE
1493;Vierraden (DE);Vierraden (DE);50Hertz;50Hertz
801;Keminmaa (FI);Pyhanselka (FI);Fingrid;Fingrid
1488;Diemen;Ens;TENNET-NL;TENNET-NL
1490;Ens;Zwolle;TENNET-NL;TENNET-NL
1539;Krimpen;Geertruidenberg;TENNET-NL;TENNET-NL
1540;Eindhoven;Maasbracht;TENNET-NL;TENNET-NL
1560;Beverwijk;Bleiswijk;TENNET-NL;TENNET-NL
810;West Wexford or East Cork (IE);La Martyre (FR);EIRGRID;RTE
424;Kvilldal (NO);Blythe (GB);Statnett;NHIGL
396;Keminmaa (Finland);Messaure (Sweden, bidding area SE1);Fingrid;Svenska kraftnät
145;Niederrhein (DE);Doetinchem (NL);AMPRION;TENNET-NL
1625;Offshore (TBD);Onshore (TBD);Elia;Elia
934;Leiston (UK);TBD (BE);NGHIL;ELIA
373;Ostroleka (PL);Stanislawow (PL);PSE;PSE
378;Panevezys;Musa;LITGRID;LITGRID
385;Grobina (LV);Imanta (LV);AST;AST
733;Ekhyddan (SE);Nybro/Hemsjo (SE);Svk;Svk
403;SE2;SE3;Svk;Svk
86;Foggia (IT);Villanova (IT);TERNA;TERNA
96;Deliceto (IT);Bisaccia (IT);TERNA;TERNA
645;Laino (IT);Altomonte (IT);TERNA;TERNA
665;Wolmirstedt (DE);Isar (DE);50Hertz;TenneT DE
661;Emden East (DE);Osterath (DE);Amprion;Amprion
176;Daxlanden (DE);Eichstetten (DE);TransnetBW;TransnetBW
680;Urberach (DE);Daxlanden (DE);Amprion;TransnetBW
179;Rommerskirchen (DE);Weißenthurm (DE);Amprion;Amprion
188;Kruckel (DE);Dauersberg (DE);Amprion;Amprion
273;Cernavoda (RO);Stalpu (RO);Transelectrica;Transelectrica
275;Smardan (RO);Gutinas (RO);Transelectrica;Transelectrica
715;Stalpu (RO);Stalpu (RO);Transelectrica;Transelectrica
800;Varna(BG);Burgas(BG);ESO-EAD;ESO-EAD
256;Maritsa East 1 (BG);N.Santa (GR);ESO-EAD;IPTO-SA
257;Maritsa East 1 (BG);Plovdiv (BG);ESO-EAD;ESO-EAD
258;Maritsa East 1 (BG);Maritsa East 3 (BG);ESO-EAD;ESO-EAD
262;Maritsa East 1 (BG);Burgas (BG);ESO-EAD;ESO-EAD
238;Resita (RO);Pancevo (RS);Transelectrica;EMS
269;Portile de Fier (RO);Resita (RO);Transelectrica;Transelectrica
270;Resita (RO);Timisoara-Sacalaz-Arad (RO);Transelectrica;Transelectrica
701;Resita (RO);Resita (RO);Transelectrica;Transelectrica
705;Timisoara (RO);Timisoara (RO);Transelectrica;Transelectrica
616;Salgareda (IT);Border IT-SI;TERNA;ELES
1616;Beričevo (SI);Border IT-SI;ELES;TERNA
987;Menuel (FR);Exeter (GB);RTE (FR);NGIHL (UK)
149;Dollern (DE);Stade (DE);TenneT-DE;TenneT-DE
157;Wahle (DE);Mecklar (DE);TenneT-DE;TenneT-DE
677;Dollern (DE);Landesbergen (DE);TenneT-DE;TenneT-DE
685;Mecklar (DE);Grafenrheinfeld (DE);TenneT-DE;TenneT-DE
998;Revsing (DKW);Bicker Fen (GB);Energinet.dk;National Grid
382;Vilnius;Neris;LITGRID;LITGRID
1004;Sindi;Paide;ELERING;ELERING
1010;Tartu;Valmiera;Elering;AST
1011;Tsirguliina;Valmiera;Elering;AST
1012;Balti;Tartu;ELERING;ELERING
1013;Viru;Tsirguliina ;ELERING;ELERING
1034;Marijampole;State border;LITGRID;LITGRID
1118;Eesti 330 kV;NULL;"LITGRID; AST; ELERING";NULL
1564;Pagegiai;Bitenai;LITGRID;LITGRID
1565;LE;Vilnius;LITGRID;LITGRID
1566;NULL;NULL;LITGRID;LITGRID
1567;Griskonys;Valkininkai;LITGRID;NULL
1568;Alytus;NULL;LITGRID;NULL
1569;Alytus;NULL;LITGRID;NULL
1570;Bitenai;NULL;LITGRID;NULL
1571;NULL;NULL;LITGRID;NULL
1572;NULL;NULL;"LITGRID; AST; ELERING";NULL
1632;Musa;NULL;NULL;NULL
1633;Klaipeda;Bitenai;LITGRID;NULL
1634;Bitenai;Jurbarkas;LITGRID;NULL
1635;Jurbarkas;KHAE;LITGRID;NULL
1487;Sellindge (UK);Mandarins (FR);NG;RTE
1281;Aubange (BE);Moulaine (FR);ELIA;RTE
1014;Verderio;Sils i.D.;Terna;Swissgrid
1000;Malling (DKW);Kyndby (DKE);Energinet;Energinet
995;Hurva (SE4);Gue;Svk;50Hertz
1016;Bjæverskov (DK2);Bentwisch (DE);Energinet.dk;50Hertz
1018;Klixbüll (DE);Endrup (DKW);TenneT-DE;Energinet.dk
886;Seyring;Neusiedl/Zaya;APG;APG
997;Pleinting (DE);St. Peter (AT);TenneT-DE;APG
1382;Sima;Peterhead;Statnett;National Grid   (SSEN is TO)
656;Cluster BorWin3;Emden/East (DE);TenneT-DE;TenneT-DE
952;Cluster DolWin 5 (NOR-1-1);Emden/East (DE);TenneT-DE;TenneT-DE
953;Cluster DolWin 6 (NOR-3-3);Emden/East;TenneT-DE;TenneT-DE
1513;Cluster DolWin3 (DE);Dörpen/West (DE);TenneT-DE;TenneT-DE
659;Cluster SylWin2 (DE);B;TenneT-DE;TenneT-DE
954;Cluster BorWin 5 (NOR-7-1);area of Cloppenburg/East;TenneT-DE;TenneT-DE
211;Cluster DolWin 4 (NOR 3-2);Hanekenfähr;Amprion;Amprion
1485;Cluster BorWin 6 (NOR-7-2);Hanekenfähr;Amprion;Amprion
927;La Plana/Morella;Godelleta;REE;REE
561;Cartuja (ES);Cartuja (ES);REE;REE
929;Cartuja;Arcos;REE;REE
742;Pyhanselka (FI);Petajavesi (FI);Fingrid;Fingrid
1051;Cornier (FR);La Bâtiaz (CH);RTE;SWISSGRID
306;Vitkov (CZ);NULL;CEPS;N/A
308;Vernerov (CZ);Vitkov (CZ);CEPS;CEPS
309;Vitkov (CZ);Prestice (CZ);CEPS;CEPS
312;Mirovka (CZ);NULL;CEPS;N/A
314;Mirovka (CZ);V413 (CZ);CEPS;CEPS
538;Morella  (ES);La Plana(ES);REE;REE
682;Großgartach (DE);Endersbach (DE);TransnetBW;TransnetBW
687;Redwitz (DE);Schwandorf (DE);TenneT-DE;TenneT-DE
688;Raitersaich (DE);Altheim (DE);TenneT-DE;TenneT-DE
990;Grafenrheinfeld (DE);Großgartach (DE);TenneT-DE;TransnetBW
676;Dollern (DE);Elsfleht/West (DE);TenneT-DE;TenneT-DE
939;Conneforde;Emden/Ost;TenneT-DE;TenneT-DE
940;Emden/Ost;Halbemond;TenneT-DE;TenneT-DE
150;Conneforde (DE);Wilhelmshaven (DE);TenneT-DE;TenneT-DE
151;Wehrendorf (DE);Ganderkesee (DE);TenneT-DE;Amprion
156;Niederrhein (DE);Dörpen/West (DE);Amprion;TenneT-DE
935;Kreis Segeberg;Göhl/Siems;TenneT-DE;TenneT-DE
1380;SOMPLAGO;WURMLACH;TERNA SPA;Austrian Power Grid AG
1082;NULL;NULL;NULL;NULL
1407;Hadera Site;Kofinou Site;IEC;TSO Cyprus
1409;Kofinou Site;Korakia (Crete)Site;TSO Cyprus;ADMHE
1410;Korakia (Crete)Site;Athens Site;ADMHE;ADMHE
1107;to be defined (BE);to be defined (DE);ELIA;AMPRION
627;Bajina Basta (RS);Visegrad (BA);EMS;NOSBIH
628;SS Bajina Basta (RS);SS Obrenovac (RS);EMS;EMS
630;Bajina Basta (RS);Pljevlja (ME);EMS;CGES
631;Bajina Basta (RS);Bajina Basta (RS);EMS;EMS
1526;SS Lastva;SS Pljevlja;CGES;CGES
1527;SS Kragujevac;SS Kraljevo;EMS;EMS
1528;SS Kraljevo;SS Kraljevo;EMS;EMS
1231;Muhlbach;Eichstetten;RTE;TransnetBW GmbH
1270;Baczyna-Plewiska indentation;Zielona Góra;PSE S.A.;PSE S.A.
1271;Zielona Góra;Baczyna-Plewiska indentation;PSE S.A.;PSE S.A.
1272;Zielona Góra;NULL;PSE S.A.;NULL
1273;Zielona Góra;Gubin;PSE S.A.;PSE S.A.
1274;Gubin;NULL;PSE S.A.;NULL
1275;Gubin (PL);Eisenhuettenstadt (DE);PSE S.A.;50Hertz
353;Krajnik (PL);Baczyna (PL);PSE S.A.;PSE S.A.
355;Mikułowa (PL);Świebodzice (PL);PSE S.A.;PSE S.A.
1035;Baczyna;NULL;PSE S.A.;NULL
1232;Baczyna;Plewiska;PSE S.A.;PSE S.A.
1282;Beznau (CH);Tiengen (DE);Swissgrid;Amprion
1457;Germany;Switzerland;TransnetBW;Swissgrid
1235;NULL;NULL;REE;REE
1236;Avedøre (DKE);Dunowo (PL);Energinet;PSE
664;"""Brunsbü";"""Großgartach, Grafenrheinfeld""";TenneT-DE;TransnetBW
608;Horta (BE);Mercator (BE);ELIA;ELIA
1241;Hjalta (SE2);Tuovila (FI);SVK;FINGRID
1460;Güstrow (DE);Wolmirstedt (DE);50Hertz;50Hertz
1276;Dakovo;Tuzla;HOPS;NOS BIH
1277;Dakovo;Gradacac;HOPS;NOS BIH
1278;Dakovo;Dakovo;HOPS;HOPS
